,image,HP,HR,Glass,EV,FV,Glared,S,L
254,C:\Users\nidhimh\Documents\Face\faces\image_0166.jpg,Face is not vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
255,C:\Users\nidhimh\Documents\Face\faces\image_0167.jpg,Face is not horizontally centred,face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
256,C:\Users\nidhimh\Documents\Face\faces\image_0168.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
257,C:\Users\nidhimh\Documents\Face\faces\image_0169.jpg,Face is neither horizontally or vertically centred,head is tilted to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
258,C:\Users\nidhimh\Documents\Face\faces\image_0170.jpg,Multiple faces,Multiple faces,Multiple faces,Multiple faces,Multiple faces,Multiple faces,Multiple faces,Multiple faces
259,C:\Users\nidhimh\Documents\Face\faces\image_0171.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,Image is correctly lit
260,C:\Users\nidhimh\Documents\Face\faces\image_0172.jpg,Face is not horizontally centred,head is tilted to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
261,C:\Users\nidhimh\Documents\Face\faces\image_0173.jpg,Face is not horizontally centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,Image is correctly lit
262,C:\Users\nidhimh\Documents\Face\faces\image_0174.jpg,Face is not horizontally centred,face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
263,C:\Users\nidhimh\Documents\Face\faces\image_0175.jpg,Face is not horizontally centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
264,C:\Users\nidhimh\Documents\Face\faces\image_0176.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
265,C:\Users\nidhimh\Documents\Face\faces\image_0177.jpg,Face is neither horizontally or vertically centred,head is tilted to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
266,C:\Users\nidhimh\Documents\Face\faces\image_0178.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,Image is correctly lit
267,C:\Users\nidhimh\Documents\Face\faces\image_0179.jpg,Face is neither horizontally or vertically centred,face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
268,C:\Users\nidhimh\Documents\Face\faces\image_0180.jpg,Face is horizontally and vertically centred,head is tilted to the side and face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
269,C:\Users\nidhimh\Documents\Face\faces\image_0181.jpg,Face is not vertically centred,head is tilted to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
270,C:\Users\nidhimh\Documents\Face\faces\image_0182.jpg,Face is horizontally and vertically centred,head is tilted to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
271,C:\Users\nidhimh\Documents\Face\faces\image_0183.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
272,C:\Users\nidhimh\Documents\Face\faces\image_0184.jpg,Face is not horizontally centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
273,C:\Users\nidhimh\Documents\Face\faces\image_0185.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
274,C:\Users\nidhimh\Documents\Face\faces\image_0186.jpg,Face is not vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,Image is correctly lit
275,C:\Users\nidhimh\Documents\Face\faces\image_0187.jpg,Face is not horizontally centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
276,C:\Users\nidhimh\Documents\Face\faces\image_0188.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
277,C:\Users\nidhimh\Documents\Face\faces\image_0189.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
278,C:\Users\nidhimh\Documents\Face\faces\image_0190.jpg,Face is horizontally and vertically centred,head is tilted to the side and face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
279,C:\Users\nidhimh\Documents\Face\faces\image_0191.jpg,Face is neither horizontally or vertically centred,face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
280,C:\Users\nidhimh\Documents\Face\faces\image_0192.jpg,Face is horizontally and vertically centred,face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
281,C:\Users\nidhimh\Documents\Face\faces\image_0193.jpg,Face is not vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
282,C:\Users\nidhimh\Documents\Face\faces\image_0194.jpg,Face is not horizontally centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
283,C:\Users\nidhimh\Documents\Face\faces\image_0195.jpg,Face is neither horizontally or vertically centred,"head is tilted to the side, face is turned to the side, and head is forward or backward tilted",Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
284,C:\Users\nidhimh\Documents\Face\faces\image_0196.jpg,Face is not horizontally centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
285,C:\Users\nidhimh\Documents\Face\faces\image_0197.jpg,Face is not horizontally centred,face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
286,C:\Users\nidhimh\Documents\Face\faces\image_0198.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
287,C:\Users\nidhimh\Documents\Face\faces\image_0199.jpg,Face is not horizontally centred,head is foreward or backward titled,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
288,C:\Users\nidhimh\Documents\Face\faces\image_0200.jpg,Face is neither horizontally or vertically centred,head is foreward or backward titled,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
289,C:\Users\nidhimh\Documents\Face\faces\image_0201.jpg,Face is not horizontally centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
290,C:\Users\nidhimh\Documents\Face\faces\image_0202.jpg,Face is not horizontally centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
291,C:\Users\nidhimh\Documents\Face\faces\image_0203.jpg,Face is horizontally and vertically centred,head is foreward or backward titled,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are shadows,The face is too brightly lit (possibly due to flash)
292,C:\Users\nidhimh\Documents\Face\faces\image_0204.jpg,Face is horizontally and vertically centred,face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,The image has too much light
293,C:\Users\nidhimh\Documents\Face\faces\image_0205.jpg,Face is not horizontally centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are shadows,Image is correctly lit
294,C:\Users\nidhimh\Documents\Face\faces\image_0206.jpg,Face is not horizontally centred,face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
295,C:\Users\nidhimh\Documents\Face\faces\image_0207.jpg,Face is not vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
296,C:\Users\nidhimh\Documents\Face\faces\image_0208.jpg,Face is neither horizontally or vertically centred,face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
297,C:\Users\nidhimh\Documents\Face\faces\image_0209.jpg,Face is not horizontally centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,Image is correctly lit
298,C:\Users\nidhimh\Documents\Face\faces\image_0210.jpg,Face is not horizontally centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are shadows,Image is correctly lit
299,C:\Users\nidhimh\Documents\Face\faces\image_0211.jpg,Face is neither horizontally or vertically centred,head is foreward or backward titled,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
300,C:\Users\nidhimh\Documents\Face\faces\image_0212.jpg,Face is not horizontally centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
301,C:\Users\nidhimh\Documents\Face\faces\image_0213.jpg,Face is not horizontally centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
302,C:\Users\nidhimh\Documents\Face\faces\image_0214.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
303,C:\Users\nidhimh\Documents\Face\faces\image_0215.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
304,C:\Users\nidhimh\Documents\Face\faces\image_0216.jpg,Face is not horizontally centred,head is foreward or backward titled,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
305,C:\Users\nidhimh\Documents\Face\faces\image_0217.jpg,Face is horizontally and vertically centred,face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,The image has too much light
306,C:\Users\nidhimh\Documents\Face\faces\image_0218.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
307,C:\Users\nidhimh\Documents\Face\faces\image_0219.jpg,Face is not horizontally centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
308,C:\Users\nidhimh\Documents\Face\faces\image_0220.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
309,C:\Users\nidhimh\Documents\Face\faces\image_0221.jpg,Face is not horizontally centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
310,C:\Users\nidhimh\Documents\Face\faces\image_0222.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,Image is correctly lit
311,C:\Users\nidhimh\Documents\Face\faces\image_0223.jpg,Face is not vertically centred,head is foreward or backward titled,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
312,C:\Users\nidhimh\Documents\Face\faces\image_0224.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
313,C:\Users\nidhimh\Documents\Face\faces\image_0225.jpg,Face is not vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
314,C:\Users\nidhimh\Documents\Face\faces\image_0226.jpg,Face is not horizontally centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
315,C:\Users\nidhimh\Documents\Face\faces\image_0227.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
316,C:\Users\nidhimh\Documents\Face\faces\image_0228.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,Image is correctly lit
317,C:\Users\nidhimh\Documents\Face\faces\image_0229.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
318,C:\Users\nidhimh\Documents\Face\faces\image_0230.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
319,C:\Users\nidhimh\Documents\Face\faces\image_0231.jpg,Face is not horizontally centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,Image is correctly lit
320,C:\Users\nidhimh\Documents\Face\faces\image_0232.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
321,C:\Users\nidhimh\Documents\Face\faces\image_0233.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,The image has too much light
322,C:\Users\nidhimh\Documents\Face\faces\image_0234.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
323,C:\Users\nidhimh\Documents\Face\faces\image_0235.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are shadows,Image is correctly lit
324,C:\Users\nidhimh\Documents\Face\faces\image_0236.jpg,Face is horizontally and vertically centred,head is foreward or backward titled,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
325,C:\Users\nidhimh\Documents\Face\faces\image_0237.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
326,C:\Users\nidhimh\Documents\Face\faces\image_0238.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
327,C:\Users\nidhimh\Documents\Face\faces\image_0239.jpg,Face is not vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
328,C:\Users\nidhimh\Documents\Face\faces\image_0240.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
329,C:\Users\nidhimh\Documents\Face\faces\image_0241.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are shadows,Image is correctly lit
330,C:\Users\nidhimh\Documents\Face\faces\image_0242.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
331,C:\Users\nidhimh\Documents\Face\faces\image_0243.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
332,C:\Users\nidhimh\Documents\Face\faces\image_0244.jpg,Face is neither horizontally or vertically centred,face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
333,C:\Users\nidhimh\Documents\Face\faces\image_0245.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
334,C:\Users\nidhimh\Documents\Face\faces\image_0246.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
335,C:\Users\nidhimh\Documents\Face\faces\image_0247.jpg,Face is neither horizontally or vertically centred,face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
336,C:\Users\nidhimh\Documents\Face\faces\image_0248.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
337,C:\Users\nidhimh\Documents\Face\faces\image_0249.jpg,Multiple faces,Multiple faces,Multiple faces,Multiple faces,Multiple faces,Multiple faces,Multiple faces,Multiple faces
338,C:\Users\nidhimh\Documents\Face\faces\image_0250.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
339,C:\Users\nidhimh\Documents\Face\faces\image_0251.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
340,C:\Users\nidhimh\Documents\Face\faces\image_0252.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
341,C:\Users\nidhimh\Documents\Face\faces\image_0253.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
342,C:\Users\nidhimh\Documents\Face\faces\image_0254.jpg,Face is neither horizontally or vertically centred,face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
343,C:\Users\nidhimh\Documents\Face\faces\image_0255.jpg,Face is not vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are shadows,Image is correctly lit
344,C:\Users\nidhimh\Documents\Face\faces\image_0256.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
345,C:\Users\nidhimh\Documents\Face\faces\image_0257.jpg,Face is neither horizontally or vertically centred,face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
346,C:\Users\nidhimh\Documents\Face\faces\image_0258.jpg,Face is horizontally and vertically centred,face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
347,C:\Users\nidhimh\Documents\Face\faces\image_0259.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
348,C:\Users\nidhimh\Documents\Face\faces\image_0260.jpg,Face is neither horizontally or vertically centred,face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
349,C:\Users\nidhimh\Documents\Face\faces\image_0261.jpg,Face is not vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
350,C:\Users\nidhimh\Documents\Face\faces\image_0262.jpg,Face is neither horizontally or vertically centred,head is foreward or backward titled,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
351,C:\Users\nidhimh\Documents\Face\faces\image_0263.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
352,C:\Users\nidhimh\Documents\Face\faces\image_0264.jpg,Face is neither horizontally or vertically centred,head is foreward or backward tilted and face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
353,C:\Users\nidhimh\Documents\Face\faces\image_0265.jpg,Face is neither horizontally or vertically centred,head is foreward or backward tilted and face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is poorly lit
354,C:\Users\nidhimh\Documents\Face\faces\image_0266.jpg,Face is neither horizontally or vertically centred,head is foreward or backward tilted and face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
355,C:\Users\nidhimh\Documents\Face\faces\image_0267.jpg,Face is neither horizontally or vertically centred,head is foreward or backward tilted and face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
356,C:\Users\nidhimh\Documents\Face\faces\image_0268.jpg,Face is neither horizontally or vertically centred,head is foreward or backward tilted and face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,The face is too brightly lit (possibly due to flash)
357,C:\Users\nidhimh\Documents\Face\faces\image_0269.jpg,Face is not vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
358,C:\Users\nidhimh\Documents\Face\faces\image_0270.jpg,Face is horizontally and vertically centred,head is tilted to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
359,C:\Users\nidhimh\Documents\Face\faces\image_0271.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
360,C:\Users\nidhimh\Documents\Face\faces\image_0272.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
361,C:\Users\nidhimh\Documents\Face\faces\image_0273.jpg,Face is neither horizontally or vertically centred,face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
362,C:\Users\nidhimh\Documents\Face\faces\image_0274.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
363,C:\Users\nidhimh\Documents\Face\faces\image_0275.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
364,C:\Users\nidhimh\Documents\Face\faces\image_0276.jpg,Face is not vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
365,C:\Users\nidhimh\Documents\Face\faces\image_0277.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
366,C:\Users\nidhimh\Documents\Face\faces\image_0278.jpg,Face is not horizontally centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
367,C:\Users\nidhimh\Documents\Face\faces\image_0279.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
368,C:\Users\nidhimh\Documents\Face\faces\image_0280.jpg,Face is not vertically centred,face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
369,C:\Users\nidhimh\Documents\Face\faces\image_0281.jpg,Face is neither horizontally or vertically centred,head is tilted to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are no shadows,Image is correctly lit
370,C:\Users\nidhimh\Documents\Face\faces\image_0282.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
371,C:\Users\nidhimh\Documents\Face\faces\image_0283.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
372,C:\Users\nidhimh\Documents\Face\faces\image_0284.jpg,Face is neither horizontally or vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,Image is correctly lit
373,C:\Users\nidhimh\Documents\Face\faces\image_0285.jpg,Face is neither horizontally or vertically centred,face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
374,C:\Users\nidhimh\Documents\Face\faces\image_0286.jpg,Face is neither horizontally or vertically centred,face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,Image is correctly lit
375,C:\Users\nidhimh\Documents\Face\faces\image_0287.jpg,Face is horizontally and vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
376,C:\Users\nidhimh\Documents\Face\faces\image_0288.jpg,Face is not horizontally centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are no shadows,The face is too brightly lit (possibly due to flash)
377,C:\Users\nidhimh\Documents\Face\faces\image_0289.jpg,Face is not vertically centred,head and face is correctly positioned,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is glare,There are shadows,Image is correctly lit
378,C:\Users\nidhimh\Documents\Face\faces\image_0290.jpg,Face is not vertically centred,face is turned to the side,Face does not have glasses,Eyes are not occluded,Forehead is not occluded,There is no glare,There are shadows,The face is too brightly lit (possibly due to flash)
